onset	duration	trial_type	response
31.9	2.94	orange	NoPress
155.7	2	orange	NoPress
300.707	2.075	orange	NoPress
477.29	1.983	orange	NoPress
595.991	1.552	orange	NoPress
90.695	2.38	smelly-cheese	NoPress
246.302	2.143	smelly-cheese	NoPress
359.322	1.056	smelly-cheese	NoPress
387.809	1.787	smelly-cheese	NoPress
536.875	1.733	smelly-cheese	NoPress
2.2	1.9	banana	NoPress
125	2.6	banana	NoPress
218.454	2.134	banana	NoPress
274.486	1.898	banana	NoPress
445.284	1.728	banana	NoPress
509.43	1.83	banana	NoPress
60.5	2	asafetida	NoPress
186.9	2	asafetida	NoPress
331.345	1.574	asafetida	NoPress
416.338	1.952	asafetida	NoPress
567.6	1.47	asafetida	NoPress